"","X.1","X","Family.Size","Males","Females","Natives","Not.Natives","Male.Occupation","Female.Occupation","Born.slaves","EduLevel","Literate"
"155","1432",2409,"3",2,1,0,3,"laborer","washer","0",16.66,"0"
"156","1438",2415,"2",1,1,2,0,"seaman","dom. duties","0",50,"0"
"157","1443",2420,"2",1,1,0,2,"hod carrier","days work","0",0,"0"
"158","1452",2431,"5",2,3,5,0,"waiter","washer","0",40,"0"
"159","1463",2445,"3",1,2,3,0,"hod carrier","washer","0",50,"0"
"160","1466",2448,"4",2,2,4,0,"porter","washer","0",37.5,"0"
"161","1475",2459,"6",3,3,4,2,"laborer","days work","0",25,"0"
"162","1476",2460,"7",2,5,2,5,"porter","washer","0",57.15,"1"
"165","1490",2477,"2",1,1,0,2,"hod carrier","washer","0",25,"0"
"166","1500",2493,"3",2,1,2,1,"waiter","washer","0",66.67,"1"
"168","1503",2499,"3",1,2,1,2,"porter","dom. duties","0",33.33,"0"
"169","1507",2505,"5",1,4,4,1,"porter","days work","0",10,"0"
"170","1508",2507,"8",4,4,7,1,"laborer","days work","1",12.5,"0"
